frame,nose_x,nose_y,leye_x,leye_y,reye_x,reye_y,lear_x,lear_y,rear_x,rear_y,lsho_x,lsho_y,rsho_x,rsho_y,lelb_x,lelb_y,relb_x,relb_y,lwri_x,lwri_y,rwri_x,rwri_y,lhip_x,lhip_y,rhip_x,rhip_y,lknee_x,lknee_y,rknee_x,rknee_y,lank_x,lank_y,rank_x,rank_y
0,161.46182250976562,1127.134033203125,153.29315185546875,1115.42626953125,166.98928833007812,1119.0906982421875,121.24522399902344,1125.7384033203125,180.87710571289062,1132.3094482421875,74.84083557128906,1206.0048828125,209.74522399902344,1211.69482421875,59.68841552734375,1304.3031005859375,255.70394897460938,1316.5340576171875,72.69448852539062,1341.29931640625,216.66249084472656,1313.4290771484375,91.86564636230469,1418.9608154296875,179.416748046875,1403.20703125,85.66629028320312,1610.5638427734375,170.66494750976562,1516.9744873046875,90.95722961425781,1799.55126953125,159.0252227783203,1609.2330322265625
1,176.22933959960938,1116.16015625,169.1091766357422,1105.170654296875,181.81504821777344,1106.8935546875,139.89752197265625,1112.18212890625,199.82888793945312,1115.3485107421875,99.88095092773438,1187.5111083984375,227.7498321533203,1188.883544921875,95.04255676269531,1276.2938232421875,270.2484436035156,1290.8809814453125,152.1889190673828,1293.7503662109375,232.487060546875,1291.807861328125,113.76799011230469,1391.8990478515625,201.28045654296875,1376.0460205078125,109.77366638183594,1570.011474609375,195.49575805664062,1475.3148193359375,96.1424331665039,1762.931396484375,191.58935546875,1591.4302978515625
2,203.650146484375,1097.340087890625,194.59878540039062,1086.3939208984375,206.32675170898438,1087.1129150390625,161.86581420898438,1092.782470703125,220.92274475097656,1095.99365234375,125.84793090820312,1170.9990234375,248.4943084716797,1168.52001953125,125.211181640625,1261.463134765625,289.39111328125,1267.9261474609375,177.501708984375,1277.973388671875,257.3553466796875,1251.8316650390625,129.2470703125,1365.6964111328125,216.6734619140625,1349.2545166015625,125.93527221679688,1540.0615234375,223.95751953125,1446.6583251953125,92.86817932128906,1740.584716796875,200.1240692138672,1595.1937255859375
3,215.32675170898438,1087.896240234375,204.98512268066406,1077.2744140625,219.40281677246094,1077.893798828125,174.25454711914062,1081.8048095703125,234.55233764648438,1085.632568359375,145.6783905029297,1156.45751953125,257.70574951171875,1157.8577880859375,149.79241943359375,1247.9063720703125,304.90948486328125,1253.9930419921875,206.00482177734375,1259.612548828125,296.202392578125,1242.7916259765625,146.5583953857422,1340.673828125,228.27896118164062,1334.506103515625,144.57313537597656,1483.7978515625,240.75816345214844,1446.9208984375,108.15482330322266,1648.69921875,226.2777099609375,1590.0364990234375
4,212.85592651367188,1082.4268798828125,208.95994567871094,1068.8482666015625,217.33114624023438,1069.09423828125,187.76756286621094,1079.371337890625,247.81063842773438,1080.53857421875,164.72415161132812,1150.028564453125,271.20782470703125,1159.3616943359375,151.45059204101562,1231.77783203125,310.4534606933594,1257.6668701171875,209.2988739013672,1244.6959228515625,311.78375244140625,1226.1502685546875,166.32395935058594,1321.969970703125,242.73414611816406,1321.3699951171875,173.18536376953125,1460.9732666015625,252.52401733398438,1439.0213623046875,128.6383056640625,1595.0711669921875,235.7783660888672,1569.7447509765625
5,243.40267944335938,1075.614990234375,236.4196319580078,1063.732666015625,243.02685546875,1061.9930419921875,206.23094177246094,1075.6844482421875,260.8434143066406,1075.883056640625,183.65753173828125,1149.721435546875,286.8302001953125,1153.8583984375,147.97750854492188,1229.660888671875,320.316650390625,1257.4598388671875,187.58132934570312,1213.81884765625,299.65765380859375,1242.551513671875,187.61355590820312,1320.4404296875,258.0625,1321.50146484375,203.94342041015625,1439.7144775390625,262.4412536621094,1437.457763671875,154.46194458007812,1524.927978515625,233.63119506835938,1570.6666259765625
6,258.87384033203125,1078.578857421875,251.51943969726562,1067.3480224609375,259.7445068359375,1065.5518798828125,219.80645751953125,1081.0469970703125,276.86688232421875,1081.59326171875,193.74435424804688,1145.9451904296875,298.2594909667969,1158.119140625,159.76446533203125,1222.3896484375,330.7655944824219,1257.8502197265625,207.18051147460938,1209.89453125,323.943115234375,1230.0435791015625,196.91116333007812,1309.904052734375,264.99932861328125,1320.1019287109375,221.66082763671875,1399.3404541015625,267.12835693359375,1434.5472412109375,189.9252166748047,1468.8245849609375,226.81243896484375,1569.6634521484375
7,270.4822998046875,1077.0030517578125,264.23785400390625,1067.05810546875,271.04803466796875,1065.9658203125,235.81336975097656,1081.2398681640625,287.447509765625,1082.8134765625,205.99172973632812,1139.027587890625,308.69677734375,1157.501220703125,164.14981079101562,1201.25927734375,348.0722351074219,1239.80126953125,216.39625549316406,1212.51904296875,347.0807800292969,1202.098876953125,211.02244567871094,1296.486328125,275.42901611328125,1311.1273193359375,247.72865295410156,1387.94873046875,280.1098937988281,1430.550537109375,206.3588104248047,1456.726318359375,235.5909423828125,1563.976318359375
8,294.0904846191406,1075.0244140625,284.6392822265625,1067.125,293.8067932128906,1067.8900146484375,252.79443359375,1079.6412353515625,299.9155578613281,1084.8260498046875,218.75506591796875,1130.2572021484375,323.2955322265625,1149.751953125,171.35211181640625,1189.2122802734375,358.59912109375,1217.087890625,217.33468627929688,1206.26025390625,348.7571716308594,1161.5574951171875,229.52401733398438,1282.204345703125,291.4861145019531,1294.5416259765625,262.7774658203125,1373.5772705078125,290.02105712890625,1416.0433349609375,227.74110412597656,1447.740234375,235.87942504882812,1544.7689208984375
9,303.3387756347656,1070.6265869140625,295.871826171875,1062.7330322265625,306.32403564453125,1064.8253173828125,267.2215881347656,1072.071533203125,315.79876708984375,1079.13134765625,227.09503173828125,1111.03125,336.08697509765625,1135.2945556640625,178.88243103027344,1164.7791748046875,367.7806396484375,1187.44140625,226.54281616210938,1195.117919921875,356.06292724609375,1134.59130859375,233.91224670410156,1263.3875732421875,295.8787841796875,1279.674072265625,279.90594482421875,1348.887939453125,290.14312744140625,1411.3643798828125,258.91656494140625,1454.6229248046875,234.94729614257812,1547.4266357421875
