frame,nose_x,nose_y,leye_x,leye_y,reye_x,reye_y,lear_x,lear_y,rear_x,rear_y,lsho_x,lsho_y,rsho_x,rsho_y,lelb_x,lelb_y,relb_x,relb_y,lwri_x,lwri_y,rwri_x,rwri_y,lhip_x,lhip_y,rhip_x,rhip_y,lknee_x,lknee_y,rknee_x,rknee_y,lank_x,lank_y,rank_x,rank_y
0,1034.048095703125,472.416015625,1026.2142333984375,460.88116455078125,1034.74365234375,461.0238952636719,989.689208984375,467.71795654296875,1046.090576171875,472.58453369140625,943.0602416992188,517.5103759765625,1076.160888671875,537.829345703125,889.2242431640625,590.0343627929688,1097.6046142578125,631.7405395507812,926.2408447265625,653.268798828125,1056.923828125,665.0923461914062,948.2508544921875,696.927978515625,1033.66796875,708.1547241210938,967.5066528320312,808.7330932617188,1023.6290893554688,840.1926879882812,988.94775390625,896.0234985351562,1004.7613525390625,979.9923095703125
1,1034.0716552734375,478.71514892578125,1024.6376953125,467.96832275390625,1034.4388427734375,467.66290283203125,984.7479858398438,474.68841552734375,1042.4954833984375,479.68096923828125,940.7656860351562,521.5060424804688,1069.353515625,546.5943603515625,885.8497314453125,587.035888671875,1092.573974609375,638.3121948242188,915.3570556640625,658.454345703125,1045.3018798828125,671.0896606445312,946.1754760742188,700.2545166015625,1028.4696044921875,715.6109008789062,968.9691162109375,800.4315185546875,1020.3900756835938,849.0685424804688,970.9788818359375,880.8401489257812,992.5008544921875,994.9910888671875
2,1022.7092895507812,475.2088928222656,1015.1280517578125,464.3049621582031,1023.9639892578125,464.453125,980.1563720703125,472.277099609375,1037.85302734375,477.5754699707031,939.8211669921875,516.3865356445312,1065.76318359375,544.5150756835938,888.3768310546875,576.2595825195312,1089.6702880859375,630.7185668945312,912.9464721679688,654.7321166992188,1047.4776611328125,657.2581787109375,942.4710693359375,685.936279296875,1023.52880859375,703.8576049804688,965.2132568359375,777.5191650390625,1016.9769897460938,838.0336303710938,971.3901977539062,856.9212646484375,989.8734741210938,987.55908203125
3,1022.6947631835938,475.17828369140625,1015.1161499023438,464.28118896484375,1023.95556640625,464.43170166015625,980.1500244140625,472.2668762207031,1037.8409423828125,477.5576477050781,939.79296875,516.396240234375,1065.799560546875,544.504150390625,888.4511108398438,576.231201171875,1089.7513427734375,630.6275634765625,912.9884643554688,654.7758178710938,1047.4783935546875,657.1921997070312,942.53125,685.927490234375,1023.6381225585938,703.8167114257812,965.1327514648438,777.5591430664062,1016.9685668945312,837.940185546875,971.38134765625,857.1345825195312,989.8635864257812,987.4122314453125
4,1012.093505859375,464.789794921875,1005.4458618164062,453.92852783203125,1013.8665771484375,455.0071716308594,973.490478515625,462.0429382324219,1030.4666748046875,468.0058898925781,935.1689453125,505.0167236328125,1062.0263671875,532.996337890625,891.4695434570312,557.3310546875,1094.0150146484375,613.052978515625,908.2711181640625,638.9752197265625,1045.585693359375,638.1885986328125,943.4263916015625,676.4939575195312,1024.8675537109375,690.7749633789062,959.5325927734375,776.8470458984375,1013.8319702148438,818.752197265625,967.99951171875,879.8884887695312,990.4545288085938,966.9954833984375
5,994.060791015625,452.2789306640625,989.923095703125,442.3143005371094,998.0618286132812,443.9577941894531,967.5474853515625,450.72662353515625,1021.43115234375,454.40399169921875,931.8076171875,494.15484619140625,1058.1563720703125,515.1513061523438,891.6655883789062,548.1755981445312,1094.1915283203125,595.0797119140625,907.4902954101562,619.0949096679688,1043.827392578125,623.6621704101562,951.2774658203125,656.9706420898438,1032.158935546875,663.9443969726562,954.28369140625,772.410888671875,1008.3258056640625,785.533203125,961.5316772460938,900.6237182617188,987.594970703125,923.9637451171875
6,993.0707397460938,443.4298095703125,987.7138671875,433.5805358886719,997.3768920898438,436.9671325683594,964.3366088867188,440.3648376464844,1014.7257690429688,446.57855224609375,927.5082397460938,489.0726623535156,1049.3929443359375,507.96893310546875,891.3890991210938,551.9779663085938,1086.84326171875,586.5864868164062,908.3175659179688,621.5617065429688,1044.90869140625,617.98095703125,952.8421630859375,653.0130615234375,1030.1243896484375,654.5556030273438,952.1753540039062,782.800048828125,1009.23876953125,771.3099365234375,953.5850219726562,910.51513671875,991.2488403320312,873.2472534179688
7,990.2670288085938,445.1585998535156,986.019287109375,434.5412292480469,993.3427734375,438.4194641113281,961.6847534179688,439.96771240234375,1008.3812866210938,445.4852294921875,918.4691772460938,492.5238342285156,1045.469482421875,504.3829650878906,890.074462890625,570.4483032226562,1092.9296875,585.177001953125,905.7360229492188,638.611328125,1050.3291015625,622.4273071289062,954.9108276367188,658.724853515625,1034.7147216796875,656.779052734375,953.8941650390625,791.8636474609375,1004.879150390625,764.938720703125,956.0997924804688,932.1365356445312,982.7183837890625,837.4091796875
8,990.48583984375,445.1654357910156,986.1724243164062,434.5454406738281,993.5039672851562,438.4198303222656,961.6433715820312,439.9856262207031,1008.3781127929688,445.5322265625,918.4295043945312,492.57354736328125,1045.4351806640625,504.4329833984375,890.1109619140625,570.4925537109375,1092.946044921875,585.1812744140625,905.8412475585938,638.837646484375,1050.253662109375,622.5309448242188,954.90771484375,658.7051391601562,1034.7158203125,656.755615234375,953.972412109375,791.853271484375,1004.905029296875,764.839111328125,956.1333618164062,931.95068359375,982.7500610351562,837.311767578125
9,991.3062133789062,451.5762023925781,984.6895751953125,441.4029541015625,994.4566040039062,445.356689453125,957.5067138671875,446.70941162109375,1004.529052734375,453.1204528808594,918.2046508789062,501.11566162109375,1037.824462890625,511.201904296875,885.2470092773438,583.871337890625,1084.924072265625,590.2135009765625,909.266357421875,654.728515625,1051.0198974609375,640.9119262695312,953.78857421875,668.0910034179688,1027.128662109375,665.0679321289062,956.4473876953125,794.9325561523438,998.797607421875,770.60595703125,965.7574462890625,930.6226806640625,992.30712890625,852.7205200195312
10,986.3994750976562,459.6350402832031,980.7007446289062,449.57000732421875,989.6422119140625,453.3869934082031,956.2845458984375,456.2294006347656,1001.7239990234375,461.8499755859375,915.7417602539062,512.3187255859375,1037.1611328125,516.0814208984375,879.6630249023438,596.4805908203125,1083.2215576171875,589.369873046875,916.0502319335938,649.9036254882812,1053.00146484375,638.5280151367188,948.5592041015625,669.4873657226562,1022.66015625,664.1214599609375,956.2632446289062,797.820068359375,997.0684204101562,772.1718139648438,971.9137573242188,934.228515625,993.9105224609375,858.373046875
