frame,nose_x,nose_y,leye_x,leye_y,reye_x,reye_y,lear_x,lear_y,rear_x,rear_y,lsho_x,lsho_y,rsho_x,rsho_y,lelb_x,lelb_y,relb_x,relb_y,lwri_x,lwri_y,rwri_x,rwri_y,lhip_x,lhip_y,rhip_x,rhip_y,lknee_x,lknee_y,rknee_x,rknee_y,lank_x,lank_y,rank_x,rank_y
0,148.8158416748047,640.0610961914062,133.27603149414062,624.4608764648438,149.84259033203125,621.7130126953125,80.99455261230469,631.49951171875,154.10386657714844,633.0277709960938,39.658058166503906,722.1769409179688,170.0299835205078,718.3956298828125,0.0,819.9625244140625,176.92800903320312,810.09326171875,33.52586364746094,899.8548583984375,184.14334106445312,906.9156494140625,31.354034423828125,913.8814697265625,123.40925598144531,915.736083984375,53.47782897949219,1054.0537109375,133.30953979492188,1067.3704833984375,50.9421501159668,1126.621337890625,119.14703369140625,1220.1297607421875
1,155.5621795654297,643.3565063476562,143.36058044433594,627.0467529296875,159.01031494140625,627.8394775390625,95.92743682861328,634.5743408203125,166.0717010498047,640.509765625,43.76905822753906,716.0554809570312,181.86192321777344,725.2613525390625,0.0,823.8223876953125,190.41583251953125,827.9668579101562,31.86461639404297,907.4556884765625,196.63482666015625,919.3406982421875,42.38166809082031,913.0869140625,134.24111938476562,920.63916015625,69.8238296508789,1058.5992431640625,136.11355590820312,1083.9788818359375,95.3094482421875,1191.205322265625,108.80225372314453,1242.80908203125
2,165.92022705078125,651.8358764648438,154.47915649414062,636.156005859375,169.72813415527344,637.5798950195312,109.542724609375,643.0629272460938,177.26690673828125,650.4508056640625,55.50725555419922,721.56298828125,194.48968505859375,738.51025390625,6.1645050048828125,817.1804809570312,200.8177947998047,845.1666259765625,34.44279479980469,890.954833984375,208.8405303955078,925.8545532226562,55.052574157714844,914.8436279296875,145.63430786132812,925.15478515625,92.71585845947266,1059.16650390625,146.86688232421875,1082.70654296875,112.22240447998047,1190.737060546875,106.59673309326172,1238.659423828125
3,180.3924560546875,656.5392456054688,167.55850219726562,641.8838500976562,183.06817626953125,643.5888671875,120.0508041381836,645.40380859375,184.80239868164062,655.0419311523438,62.886695861816406,715.521240234375,203.03480529785156,744.1708984375,7.4064788818359375,797.6624755859375,218.803955078125,845.6561889648438,32.580108642578125,893.137939453125,219.29234313964844,914.726318359375,59.6004638671875,910.7701416015625,150.21701049804688,928.9771728515625,105.92377471923828,1036.9818115234375,157.26760864257812,1084.07470703125,101.91957092285156,1146.2305908203125,108.03996276855469,1235.5751953125
4,182.9670867919922,648.9059448242188,171.0838623046875,634.8597412109375,185.53585815429688,636.0494384765625,125.83145141601562,640.46630859375,191.8413848876953,650.1239013671875,74.41594696044922,703.7196044921875,212.0608367919922,742.106689453125,13.91802978515625,769.5883178710938,232.86727905273438,844.0477905273438,32.193145751953125,863.7352294921875,219.9635009765625,890.9287109375,71.08116912841797,901.587646484375,158.5550994873047,925.12939453125,113.02066040039062,1014.2830810546875,156.52560424804688,1078.139892578125,105.28468322753906,1105.076171875,111.19698333740234,1232.716552734375
5,184.70523071289062,640.2438354492188,173.05162048339844,626.317626953125,188.32879638671875,629.582275390625,132.03125,630.8173217773438,200.13067626953125,643.1671752929688,82.17823791503906,682.1083374023438,225.170654296875,728.70361328125,20.9613037109375,743.0830688476562,244.3948974609375,834.990234375,41.841094970703125,827.1268920898438,206.547119140625,818.40087890625,86.00347900390625,883.8827514648438,173.32666015625,903.001953125,124.36102294921875,1011.7529907226562,155.3419952392578,1057.7440185546875,127.13128662109375,1135.7586669921875,112.90632629394531,1221.097900390625
6,190.58502197265625,625.6621704101562,181.7006072998047,611.7300415039062,193.43072509765625,614.853515625,141.24729919433594,618.2684936523438,205.76889038085938,629.678955078125,89.38972473144531,669.6881713867188,230.89697265625,717.8413696289062,32.211212158203125,723.9179077148438,257.1922607421875,819.1417846679688,55.70166778564453,812.1346435546875,207.974365234375,808.63623046875,100.5179672241211,869.2305908203125,187.33538818359375,889.2305297851562,138.76150512695312,1000.5587768554688,156.5343780517578,1037.2508544921875,141.55352783203125,1132.994140625,120.96588134765625,1190.7625732421875
7,199.00921630859375,618.8160400390625,190.5676727294922,605.1353759765625,202.75003051757812,608.1566772460938,151.22659301757812,610.8233032226562,214.4984130859375,621.0250244140625,98.74713897705078,662.448486328125,237.11207580566406,707.4059448242188,46.55476379394531,718.4454956054688,265.5314636230469,808.482421875,57.73765563964844,802.4813232421875,224.65687561035156,788.9609375,111.75178527832031,855.3856201171875,197.06568908691406,871.2369384765625,143.32435607910156,979.5870971679688,166.91200256347656,994.67919921875,149.7830047607422,1111.791748046875,135.24485778808594,1127.5682373046875
8,204.4195556640625,615.7125244140625,195.9755401611328,602.2039794921875,207.98080444335938,604.7030029296875,158.8143768310547,607.976318359375,218.34048461914062,616.2864990234375,107.03913116455078,664.5081787109375,244.1024627685547,701.7794799804688,62.45796203613281,733.6463012695312,271.318603515625,802.0831298828125,66.7180404663086,830.5452880859375,229.60858154296875,786.0188598632812,121.9273910522461,848.5584716796875,206.77627563476562,861.4404296875,150.31082153320312,974.5769653320312,173.93312072753906,982.803466796875,173.412109375,1099.5889892578125,142.1258087158203,1111.232666015625
9,210.4244384765625,616.1234741210938,201.7587890625,603.4312133789062,212.9675750732422,604.43115234375,165.10214233398438,610.4365234375,224.95689392089844,616.865966796875,120.9640884399414,666.140380859375,252.3642578125,698.6795654296875,72.56853485107422,731.4578247070312,276.57391357421875,798.45361328125,95.81138610839844,815.655517578125,226.09695434570312,794.0458984375,132.1998748779297,848.9357299804688,215.23280334472656,862.4798583984375,158.9224395751953,967.8696899414062,188.30319213867188,986.5552978515625,178.48997497558594,1061.948486328125,168.85003662109375,1121.02587890625
