frame,nose_x,nose_y,leye_x,leye_y,reye_x,reye_y,lear_x,lear_y,rear_x,rear_y,lsho_x,lsho_y,rsho_x,rsho_y,lelb_x,lelb_y,relb_x,relb_y,lwri_x,lwri_y,rwri_x,rwri_y,lhip_x,lhip_y,rhip_x,rhip_y,lknee_x,lknee_y,rknee_x,rknee_y,lank_x,lank_y,rank_x,rank_y
0,226.36370849609375,1100.21044921875,224.3685302734375,1092.5489501953125,216.39898681640625,1095.1474609375,215.31048583984375,1103.4378662109375,192.50558471679688,1106.1912841796875,218.1676025390625,1147.1519775390625,166.49183654785156,1146.3076171875,235.433837890625,1197.22412109375,126.51264953613281,1200.416748046875,252.0167694091797,1192.9976806640625,189.69276428222656,1199.815185546875,179.13568115234375,1259.8870849609375,148.4080810546875,1260.4127197265625,197.7444610595703,1343.3663330078125,199.48626708984375,1342.2786865234375,95.8519058227539,1407.944580078125,113.74774169921875,1403.3701171875
1,266.946533203125,1095.5390625,265.1085205078125,1088.5823974609375,257.1030578613281,1090.3616943359375,256.8271179199219,1101.5587158203125,232.24513244628906,1101.52783203125,264.2385559082031,1144.4976806640625,202.51010131835938,1143.1058349609375,283.11138916015625,1190.64306640625,160.2963409423828,1194.5791015625,299.29522705078125,1180.2008056640625,228.79830932617188,1186.5711669921875,233.7528076171875,1255.396484375,203.90335083007812,1257.4212646484375,229.36758422851562,1337.7470703125,282.6497802734375,1339.95654296875,85.33134460449219,1380.1083984375,207.78518676757812,1380.9268798828125
2,304.8238220214844,1097.458740234375,303.87554931640625,1090.040283203125,294.5616149902344,1091.8123779296875,297.6275329589844,1100.134765625,268.0589904785156,1100.20068359375,308.35308837890625,1135.3524169921875,237.29531860351562,1136.5694580078125,332.26824951171875,1177.5135498046875,198.3397216796875,1187.974609375,339.88055419921875,1165.1881103515625,275.8087463378906,1171.407958984375,291.8140869140625,1250.120361328125,242.27587890625,1253.1259765625,334.472412109375,1309.3900146484375,269.68011474609375,1313.1107177734375,261.08343505859375,1382.940185546875,181.07403564453125,1385.0233154296875
3,353.6360778808594,1093.64404296875,352.234619140625,1085.779541015625,343.61163330078125,1088.20068359375,345.7928771972656,1095.41357421875,319.0360107421875,1097.6912841796875,356.0434875488281,1135.398681640625,294.3825988769531,1139.1783447265625,380.1820068359375,1176.7142333984375,245.4622802734375,1188.6412353515625,389.745361328125,1156.8465576171875,299.3346862792969,1173.0015869140625,337.5500183105469,1240.32958984375,307.86505126953125,1245.005615234375,319.6060485839844,1309.612060546875,367.7158203125,1314.964599609375,216.5515594482422,1376.755126953125,328.38623046875,1382.5023193359375
4,398.86590576171875,1091.093994140625,396.24530029296875,1083.2235107421875,387.9230651855469,1086.448486328125,385.9106750488281,1093.91162109375,361.4311218261719,1098.3367919921875,396.8130187988281,1137.66064453125,342.5928955078125,1139.8994140625,422.6396179199219,1177.2198486328125,304.1487731933594,1181.7181396484375,428.94268798828125,1175.6922607421875,353.7553405761719,1177.541259765625,371.436279296875,1244.21484375,357.45269775390625,1245.7257080078125,308.70501708984375,1322.4151611328125,448.3364562988281,1322.3721923828125,185.01504516601562,1379.746337890625,457.097412109375,1377.31689453125
5,443.4008483886719,1089.6837158203125,439.6954345703125,1081.5140380859375,432.716552734375,1086.212890625,426.4783935546875,1091.126220703125,407.753662109375,1099.9949951171875,439.2803955078125,1137.0494384765625,391.41717529296875,1143.201416015625,463.70660400390625,1176.6265869140625,363.48492431640625,1188.0372314453125,477.3870544433594,1174.4169921875,424.98529052734375,1179.87646484375,415.11572265625,1252.9647216796875,400.6280517578125,1254.4088134765625,348.72442626953125,1336.5396728515625,468.39630126953125,1334.8507080078125,253.02813720703125,1366.5941162109375,482.2236022949219,1358.5833740234375
6,488.1992492675781,1101.168701171875,485.7521057128906,1092.232666015625,478.0973205566406,1097.161376953125,478.2236328125,1099.7862548828125,455.5407409667969,1109.254638671875,495.3887634277344,1144.599365234375,436.4591369628906,1152.7222900390625,514.096435546875,1184.55078125,405.69256591796875,1201.2213134765625,516.4170532226562,1183.8377685546875,478.468505859375,1197.5008544921875,476.06707763671875,1263.246826171875,450.5250244140625,1266.0435791015625,421.82757568359375,1346.0648193359375,502.8711853027344,1346.425537109375,336.3211975097656,1376.6015625,511.349853515625,1371.959228515625
7,538.290283203125,1101.1143798828125,533.58984375,1093.2540283203125,527.023193359375,1097.5643310546875,520.7062377929688,1105.094970703125,503.9425964355469,1112.1495361328125,535.5046997070312,1154.2288818359375,491.5115051269531,1154.8912353515625,551.6744384765625,1209.3485107421875,475.1024169921875,1208.335205078125,563.1046142578125,1199.1351318359375,533.23095703125,1205.3255615234375,525.6121826171875,1268.974365234375,491.29852294921875,1269.9595947265625,563.472412109375,1353.966064453125,501.3914794921875,1349.1080322265625,538.0030517578125,1386.760009765625,439.3326110839844,1372.40771484375
8,577.4363403320312,1114.4432373046875,574.3043212890625,1105.595947265625,566.6781005859375,1109.7459716796875,565.6377563476562,1111.921630859375,547.7216186523438,1119.2452392578125,576.145751953125,1153.328857421875,542.3505249023438,1161.978515625,601.4390869140625,1204.3223876953125,546.1265258789062,1222.4102783203125,620.99951171875,1194.694580078125,591.547119140625,1214.2904052734375,571.2587280273438,1265.6519775390625,550.8027954101562,1270.2718505859375,590.4219360351562,1346.5567626953125,591.876953125,1349.668701171875,524.3887939453125,1387.8115234375,531.9823608398438,1388.4896240234375
9,622.09326171875,1123.4114990234375,620.7905883789062,1115.091796875,611.9385375976562,1118.79833984375,614.406494140625,1117.145751953125,593.626220703125,1124.989013671875,625.3744506835938,1146.484375,584.6913452148438,1163.2440185546875,650.2838745117188,1193.053955078125,618.9263916015625,1219.749755859375,665.9295043945312,1183.9840087890625,660.4462890625,1186.4307861328125,625.0350952148438,1260.338134765625,595.781982421875,1269.9298095703125,651.2743530273438,1349.5372314453125,621.7351684570312,1364.191650390625,583.9833984375,1402.1629638671875,551.3118896484375,1424.9415283203125
