frame,nose_x,nose_y,leye_x,leye_y,reye_x,reye_y,lear_x,lear_y,rear_x,rear_y,lsho_x,lsho_y,rsho_x,rsho_y,lelb_x,lelb_y,relb_x,relb_y,lwri_x,lwri_y,rwri_x,rwri_y,lhip_x,lhip_y,rhip_x,rhip_y,lknee_x,lknee_y,rknee_x,rknee_y,lank_x,lank_y,rank_x,rank_y
0,150.87542724609375,468.8125,144.4630889892578,455.7884826660156,160.20416259765625,458.931640625,127.32781982421875,468.62689208984375,197.72784423828125,475.25286865234375,86.7154769897461,539.7953491210938,250.4671173095703,565.7574462890625,24.476646423339844,625.6952514648438,296.4287414550781,677.5796508789062,60.09849548339844,694.5691528320312,249.34779357910156,682.6792602539062,121.75083923339844,746.647216796875,221.4732666015625,757.5441284179688,145.4989471435547,917.4502563476562,181.46957397460938,922.867919921875,178.27191162109375,1059.492919921875,161.63128662109375,1082.0770263671875
1,143.19998168945312,478.37261962890625,143.29515075683594,463.9166259765625,157.60552978515625,468.6383056640625,143.87899780273438,476.010498046875,208.7276611328125,480.5145568847656,96.93423461914062,558.85791015625,264.49920654296875,571.0157470703125,43.4415283203125,665.6109619140625,309.83648681640625,681.9134521484375,95.11677551269531,719.1399536132812,266.78045654296875,678.6078491210938,127.49383544921875,767.6716918945312,231.0952911376953,765.7705078125,161.6087188720703,939.538330078125,195.8774871826172,920.0015258789062,192.8935546875,1125.734375,184.30296325683594,1047.0135498046875
2,155.93301391601562,495.419921875,155.48345947265625,481.0439147949219,167.66604614257812,484.53021240234375,150.1988983154297,495.546875,214.65428161621094,496.81878662109375,106.90652465820312,582.625,269.484375,580.035400390625,71.27304077148438,700.3643798828125,315.26025390625,684.9791259765625,144.19485473632812,715.5333251953125,277.3281555175781,682.815185546875,148.04681396484375,783.6708984375,250.52810668945312,776.3402099609375,165.20016479492188,953.190673828125,210.71127319335938,922.75,201.4529266357422,1134.062744140625,202.5814971923828,1037.595947265625
3,194.60101318359375,505.6456298828125,189.52723693847656,490.930419921875,202.19375610351562,494.2254943847656,164.38067626953125,504.54052734375,231.13705444335938,506.38958740234375,121.23785400390625,593.829345703125,270.0679931640625,584.901611328125,97.16354370117188,715.46142578125,318.9967041015625,684.051025390625,125.42369079589844,708.008544921875,277.81927490234375,681.9798583984375,168.6721649169922,787.6799926757812,263.6900634765625,774.5816650390625,175.17184448242188,949.477294921875,231.83380126953125,891.743408203125,205.69268798828125,1130.221923828125,237.82992553710938,968.4751586914062
4,216.96456909179688,511.88909912109375,208.5306854248047,499.5138854980469,222.0781707763672,502.391845703125,176.86477661132812,511.1167297363281,239.99136352539062,513.7275390625,138.0009307861328,593.6810302734375,277.92486572265625,581.691162109375,123.76457214355469,707.141845703125,328.9924011230469,672.1546630859375,164.89837646484375,693.7487182617188,295.7856750488281,678.179443359375,183.3356475830078,775.4007568359375,273.332275390625,759.6471557617188,183.901123046875,935.394775390625,251.27993774414062,871.752685546875,208.31243896484375,1108.7794189453125,258.6661682128906,957.8157958984375
5,224.06033325195312,502.34039306640625,215.7279052734375,489.9310302734375,228.8779754638672,492.0589599609375,183.96221923828125,502.141845703125,249.8848419189453,503.77593994140625,152.7136688232422,582.6656494140625,285.3915710449219,572.0619506835938,142.4276123046875,689.2362060546875,332.6358642578125,658.3721923828125,169.8506622314453,673.4373779296875,281.5851135253906,662.2869262695312,194.6678924560547,759.4052124023438,281.620849609375,746.6519165039062,194.7781982421875,915.7850341796875,262.6021423339844,867.4722900390625,201.00057983398438,1083.53564453125,265.64764404296875,962.6171875
6,233.3316650390625,500.8658142089844,226.3137969970703,487.67633056640625,237.9571990966797,488.95947265625,197.52932739257812,499.2439880371094,262.9957580566406,500.1677551269531,170.8950653076172,574.65234375,295.551025390625,567.7903442382812,153.47219848632812,673.5667724609375,340.8726806640625,650.2083129882812,198.34019470214844,659.2344360351562,314.9967346191406,639.7351684570312,204.43251037597656,744.1035766601562,286.9662780761719,736.613037109375,206.85682678222656,892.5597534179688,269.87255859375,864.569091796875,204.18055725097656,1045.5606689453125,273.2209777832031,979.3797607421875
7,252.20809936523438,496.05889892578125,244.8081817626953,483.134521484375,254.37887573242188,482.77276611328125,214.2974853515625,494.6160888671875,275.298095703125,494.189453125,187.557861328125,565.8363647460938,307.07501220703125,560.8070068359375,166.63858032226562,662.0304565429688,346.0087585449219,650.1132202148438,205.3791961669922,624.4097290039062,316.1537780761719,625.2908325195312,207.90475463867188,731.9019775390625,287.712646484375,729.9039306640625,213.61599731445312,862.141845703125,281.5224609375,866.647705078125,212.92575073242188,988.3209228515625,273.89971923828125,1005.9427490234375
8,263.0576477050781,494.7252197265625,254.47607421875,481.70892333984375,264.4414367675781,480.385009765625,222.534912109375,494.19036865234375,285.61151123046875,494.4930419921875,195.63772583007812,565.9806518554688,320.11407470703125,568.5767822265625,167.48631286621094,659.9363403320312,353.19927978515625,664.698974609375,215.8839111328125,637.2290649414062,317.0276184082031,644.022705078125,214.15548706054688,733.979736328125,296.49468994140625,741.46240234375,235.9154510498047,844.1337280273438,290.30474853515625,881.255859375,239.8395233154297,937.43359375,274.2200622558594,1034.21923828125
9,281.3825378417969,499.2348327636719,270.46331787109375,486.19854736328125,282.23370361328125,485.44769287109375,232.6164093017578,497.8471374511719,296.7442626953125,500.789306640625,203.37347412109375,566.7181396484375,325.51458740234375,576.8929443359375,171.0286865234375,658.6443481445312,361.5987548828125,676.9004516601562,222.0836944580078,648.1318359375,347.2060546875,674.9927368164062,221.01467895507812,738.6531982421875,299.0582580566406,752.0250854492188,250.1068878173828,843.8265380859375,294.81134033203125,896.6649169921875,244.4097442626953,931.4096069335938,263.28387451171875,1047.9892578125
