frame,t,x,y,is_measurement
0,0.0,,,0
1,0.03333333333333333,,,0
2,0.06666666666666667,,,0
3,0.1,,,0
4,0.13333333333333333,,,0
5,0.16666666666666666,,,0
6,0.2,,,0
7,0.23333333333333334,,,0
8,0.26666666666666666,,,0
9,0.3,,,0
10,0.3333333333333333,,,0
11,0.36666666666666664,,,0
12,0.4,,,0
13,0.43333333333333335,,,0
14,0.4666666666666667,,,0
15,0.5,,,0
16,0.5333333333333333,,,0
17,0.5666666666666667,,,0
18,0.6,,,0
19,0.6333333333333333,,,0
20,0.6666666666666666,,,0
21,0.7,,,0
22,0.7333333333333333,,,0
23,0.7666666666666667,552.1351318359375,1066.3475341796875,1
24,0.8,552.1351318359375,1066.3475341796875,0
25,0.8333333333333334,552.1351318359375,1066.3475341796875,0
26,0.8666666666666667,552.1351318359375,1066.3475341796875,0
27,0.9,554.017822265625,1064.59814453125,1
28,0.9333333333333333,553.6952593219814,1064.8978689393,0
29,0.9666666666666667,553.7019915794259,1064.8916133482064,0
30,1.0,553.7087238368704,1064.8853577571128,0
31,1.0333333333333334,553.7154560943148,1064.8791021660193,0
32,1.0666666666666667,553.7221883517593,1064.8728465749257,0
33,1.1,553.7289206092038,1064.866590983832,0
34,1.1333333333333333,553.7356528666483,1064.8603353927385,0
35,1.1666666666666667,553.7423851240927,1064.854079801645,0
36,1.2,553.7491173815372,1064.8478242105514,0
37,1.2333333333333334,553.7558496389817,1064.8415686194578,0
38,1.2666666666666666,553.7625818964261,1064.8353130283642,0
39,1.3,553.7693141538706,1064.8290574372706,0
40,1.3333333333333333,553.7760464113151,1064.822801846177,0
41,1.3666666666666667,553.7827786687595,1064.8165462550835,0
42,1.4,553.789510926204,1064.81029066399,0
43,1.4333333333333333,553.7962431836485,1064.8040350728963,0
44,1.4666666666666666,553.8029754410929,1064.7977794818028,0
45,1.5,553.8097076985374,1064.7915238907092,0
46,1.5333333333333334,553.8164399559819,1064.7852682996156,0
47,1.5666666666666667,553.8231722134263,1064.779012708522,0
48,1.6,553.8299044708708,1064.7727571174285,0
49,1.6333333333333333,553.8366367283153,1064.7665015263349,0
50,1.6666666666666667,553.8433689857598,1064.7602459352413,0
51,1.7,553.8501012432042,1064.7539903441477,0
52,1.7333333333333334,553.8568335006487,1064.7477347530541,0
53,1.7666666666666666,553.8635657580932,1064.7414791619606,0
54,1.8,553.8702980155376,1064.735223570867,0
55,1.8333333333333333,553.8770302729821,1064.7289679797734,0
56,1.8666666666666667,553.8837625304266,1064.7227123886798,0
57,1.9,553.890494787871,1064.7164567975863,0
58,1.9333333333333333,553.8972270453155,1064.7102012064927,0
59,1.9666666666666666,553.90395930276,1064.703945615399,0
60,2.0,553.9106915602044,1064.6976900243055,0
61,2.033333333333333,553.9174238176489,1064.691434433212,0
62,2.066666666666667,553.9241560750934,1064.6851788421184,0
63,2.1,553.9308883325378,1064.6789232510248,0
64,2.1333333333333333,553.9376205899823,1064.6726676599312,0
65,2.1666666666666665,553.9443528474268,1064.6664120688376,0
66,2.2,553.9510851048713,1064.660156477744,0
