epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.62333,2.63309,2.45443,0.99492,0.69662,0.40541,0.41256,0.15633,2.73292,1.83838,0.92203,0.00064,0.00064,0.00064
2,16.7362,2.47383,2.27474,0.97046,0.78966,0.50753,0.53285,0.2269,2.36298,1.64055,0.87105,0.00127855,0.00127855,0.00127855
3,23.8292,2.55078,2.21941,0.95331,0.37868,0.32432,0.18232,0.06379,2.45158,5.63868,0.89896,0.00189532,0.00189532,0.00189532
4,31.0323,2.50869,2.12562,0.96617,0.39649,0.2973,0.30007,0.08209,2.64958,1.9332,0.90653,0.001901,0.001901,0.001901
5,38.2115,2.25926,1.84569,0.9691,0.53803,0.44086,0.46672,0.14684,2.22463,1.73223,0.86578,0.001868,0.001868,0.001868
6,45.2142,2.3116,1.85677,0.98761,0.87252,0.55522,0.68581,0.28493,2.10103,1.27851,0.86165,0.001835,0.001835,0.001835
7,52.2831,2.24222,1.67902,0.95878,0.84113,0.43243,0.53257,0.2115,2.35965,1.493,0.87752,0.001802,0.001802,0.001802
8,59.1153,2.18048,1.58288,0.93304,0.78866,0.40351,0.49293,0.16064,2.55938,1.41379,0.88466,0.001769,0.001769,0.001769
9,65.8498,2.30588,1.55887,0.93655,0.64341,0.63414,0.65144,0.21852,2.42518,1.23595,0.86666,0.001736,0.001736,0.001736
10,72.6415,2.00916,1.36372,0.92216,0.60733,0.59459,0.58308,0.21715,2.25739,1.36419,0.85703,0.001703,0.001703,0.001703
11,79.4013,2.11439,1.38147,0.92624,0.67232,0.61018,0.60819,0.26311,2.05453,1.37898,0.84523,0.00167,0.00167,0.00167
12,86.1862,2.00443,1.48898,0.89653,0.70919,0.59322,0.64442,0.31921,1.99939,1.32542,0.83719,0.001637,0.001637,0.001637
13,93.4943,2.11263,1.54258,0.96409,0.79303,0.62134,0.69945,0.28674,2.07989,1.21109,0.84491,0.001604,0.001604,0.001604
14,100.573,1.97683,1.44475,0.90007,0.75687,0.50507,0.60012,0.23629,2.16917,1.43828,0.85651,0.001571,0.001571,0.001571
15,107.685,2.10722,1.50193,0.9175,0.72499,0.57008,0.66113,0.25595,2.20709,1.14526,0.86575,0.001538,0.001538,0.001538
16,114.761,2.03374,1.35546,0.88737,0.84438,0.58679,0.66794,0.28104,2.2519,1.11855,0.87169,0.001505,0.001505,0.001505
17,121.495,1.9881,1.2422,0.88094,0.81694,0.60329,0.67253,0.27421,2.23812,1.17285,0.84475,0.001472,0.001472,0.001472
18,128.167,2.24277,1.48286,0.91795,0.69615,0.59459,0.65236,0.2804,2.06849,1.11686,0.82871,0.001439,0.001439,0.001439
19,134.783,2.06879,1.2659,0.9032,0.6015,0.61208,0.61928,0.29585,1.89931,1.11527,0.82311,0.001406,0.001406,0.001406
20,141.483,1.95146,1.17519,0.90584,0.64464,0.54054,0.61034,0.27901,1.97476,1.19721,0.83081,0.001373,0.001373,0.001373
21,148.215,1.91309,1.19902,0.8928,0.79283,0.62061,0.63822,0.24994,2.17553,1.16061,0.8345,0.00134,0.00134,0.00134
22,155.202,1.97691,1.20761,0.90199,0.95898,0.63208,0.73697,0.29448,2.11697,1.05078,0.83267,0.001307,0.001307,0.001307
23,162.124,1.94947,1.13984,0.91348,0.90896,0.64865,0.71801,0.30152,2.01484,1.09811,0.83261,0.001274,0.001274,0.001274
24,168.915,1.96616,1.19605,0.89279,0.82089,0.62162,0.67925,0.28783,2.07436,1.17731,0.82746,0.001241,0.001241,0.001241
25,175.659,1.81776,1.13711,0.89442,0.81824,0.59459,0.67704,0.28642,2.02931,1.23322,0.8282,0.001208,0.001208,0.001208
26,182.521,1.87989,1.06687,0.91144,0.85591,0.56757,0.67763,0.29242,2.0377,1.1807,0.82981,0.001175,0.001175,0.001175
27,189.341,2.13429,1.18779,0.9091,0.70326,0.7027,0.6994,0.31186,2.21345,1.1037,0.84662,0.001142,0.001142,0.001142
28,196.003,2.02166,1.1234,0.91802,0.74779,0.64865,0.68638,0.29382,2.16452,1.03424,0.83825,0.001109,0.001109,0.001109
29,203.03,1.70563,1.00759,0.87772,0.86497,0.69273,0.76494,0.28113,2.25763,1.0184,0.84658,0.001076,0.001076,0.001076
30,210.484,1.89855,1.09102,0.87327,0.86985,0.64865,0.73484,0.36017,1.98453,0.9758,0.83715,0.001043,0.001043,0.001043
31,217.544,1.83943,1.06176,0.87238,0.83702,0.6942,0.75158,0.37597,1.92293,0.95388,0.83461,0.00101,0.00101,0.00101
32,225.089,1.74898,0.96823,0.86438,0.86582,0.67568,0.75022,0.37979,1.79324,0.96811,0.82575,0.000977,0.000977,0.000977
33,232.584,1.76902,0.95736,0.88645,0.84232,0.67568,0.73979,0.38562,1.7911,1.01179,0.82479,0.000944,0.000944,0.000944
34,239.559,1.80808,1.01172,0.89698,0.90009,0.7027,0.78809,0.33953,2.00278,1.04166,0.83159,0.000911,0.000911,0.000911
35,246.341,1.82151,1.07754,0.85672,0.89944,0.72973,0.75803,0.32944,2.0028,0.98123,0.83004,0.000878,0.000878,0.000878
36,253.153,1.72848,0.9317,0.89758,0.92504,0.72973,0.77783,0.32642,2.02421,0.98242,0.83221,0.000845,0.000845,0.000845
37,260.135,1.77045,1.02031,0.89868,0.91837,0.67568,0.74595,0.30942,2.03382,0.99138,0.8319,0.000812,0.000812,0.000812
38,267.643,1.73939,0.90158,0.85505,0.95697,0.67568,0.76158,0.32494,1.95438,1.06978,0.82814,0.000779,0.000779,0.000779
39,275.193,1.79331,0.98826,0.88602,0.92694,0.68604,0.75794,0.32921,1.85345,1.03362,0.8243,0.000746,0.000746,0.000746
40,282.757,1.73343,0.88183,0.85124,0.85571,0.7027,0.75108,0.32772,1.84326,1.02378,0.81756,0.000713,0.000713,0.000713
41,289.942,1.57077,0.88022,0.84277,0.84704,0.64865,0.69052,0.34059,1.82441,1.07547,0.81473,0.00068,0.00068,0.00068
42,296.772,1.64011,0.86085,0.86029,0.77641,0.62162,0.67982,0.34827,1.75512,1.12024,0.81242,0.000647,0.000647,0.000647
43,303.646,1.60282,0.89866,0.87515,0.88514,0.62162,0.69279,0.3407,1.68526,1.16279,0.81629,0.000614,0.000614,0.000614
44,310.922,1.67285,0.84125,0.84764,0.91949,0.59459,0.70016,0.3433,1.71991,1.17005,0.81682,0.000581,0.000581,0.000581
45,317.73,1.57708,0.89445,0.82771,0.95784,0.61425,0.70805,0.34146,1.79519,1.1545,0.81879,0.000548,0.000548,0.000548
46,324.583,1.59582,0.82673,0.83249,0.88975,0.65451,0.72067,0.34263,1.79438,1.10457,0.81828,0.000515,0.000515,0.000515
47,331.86,1.61033,0.86491,0.83823,0.88918,0.67568,0.71997,0.33327,1.80558,1.08095,0.81805,0.000482,0.000482,0.000482
48,338.902,1.59069,0.89862,0.87179,0.89157,0.64865,0.71882,0.33193,1.8656,1.05746,0.82182,0.000449,0.000449,0.000449
49,346.46,1.59126,0.83231,0.86174,0.9151,0.64865,0.7259,0.33749,1.92653,1.01898,0.82254,0.000416,0.000416,0.000416
50,353.384,1.65229,0.80772,0.87607,0.88763,0.62162,0.72585,0.33068,2.02384,1.06198,0.82374,0.000383,0.000383,0.000383
51,359.948,1.58505,0.83092,0.86928,0.95074,0.64865,0.74898,0.32414,2.01483,1.10095,0.82371,0.00035,0.00035,0.00035
52,366.461,1.57527,0.94118,0.88288,0.84515,0.64865,0.71363,0.30275,2.02964,1.18893,0.82802,0.000317,0.000317,0.000317
53,372.975,1.82048,0.9666,0.8655,0.98946,0.59459,0.7199,0.29082,2.00398,1.15572,0.82964,0.000284,0.000284,0.000284
54,379.465,1.72057,0.88344,0.86731,0.9577,0.61223,0.72832,0.29705,1.96215,1.12893,0.82919,0.000251,0.000251,0.000251
55,386.112,1.66395,0.80533,0.88365,0.88669,0.7027,0.75359,0.31612,2.01296,1.11407,0.82889,0.000218,0.000218,0.000218
56,392.798,1.38822,0.7876,0.8428,0.88924,0.65104,0.75013,0.32003,2.06928,1.1123,0.8279,0.000185,0.000185,0.000185
57,399.563,1.52488,0.80965,0.83832,0.86,0.6643,0.75161,0.32514,2.07677,1.11255,0.82789,0.000152,0.000152,0.000152
58,406.132,1.46504,0.77755,0.84962,0.94932,0.62162,0.75124,0.32767,2.07117,1.11608,0.8263,0.000119,0.000119,0.000119
59,412.683,1.54035,0.77485,0.87767,0.94168,0.62162,0.74873,0.32693,2.04895,1.13779,0.82474,8.6e-05,8.6e-05,8.6e-05
60,419.162,1.50519,0.8414,0.85875,1,0.61384,0.75129,0.3362,2.01623,1.12631,0.82386,5.3e-05,5.3e-05,5.3e-05
