epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,9.10503,3.20696,20.2915,1.07872,0.0001,0.02941,5e-05,4e-05,2.37805,9.92901,0.80707,0.000647619,0.000647619,0.000647619
2,15.7907,3.25866,12.931,1.08263,0.0002,0.05882,0.00011,4e-05,2.85511,8.96756,0.92387,0.00130127,0.00130127,0.00130127
3,27.9361,3.10125,11.6571,1.01874,0.85181,0.14706,0.30558,0.12532,2.69415,4.37436,0.89899,0.00194173,0.00194173,0.00194173
4,43.485,3.117,10.1801,1.07889,0.00225,0.35294,0.23242,0.09881,2.46589,5.06598,0.92092,0.0019406,0.0019406,0.0019406
5,56.4367,3.06701,9.52461,1.04286,0.73046,0.41176,0.40094,0.18893,2.55887,4.24201,0.92884,0.0019208,0.0019208,0.0019208
6,62.8878,2.85837,7.91837,0.96281,0.55721,0.38235,0.40709,0.15886,2.75433,4.05564,0.90837,0.001901,0.001901,0.001901
7,69.7167,2.56703,6.40359,0.92462,0.62078,0.5,0.414,0.09379,2.9837,3.44973,0.96852,0.0018812,0.0018812,0.0018812
8,81.5724,2.70598,7.37888,0.98245,0.95031,0.47059,0.55417,0.18946,2.80329,3.02572,0.87526,0.0018614,0.0018614,0.0018614
9,96.6034,2.711,6.49704,0.96574,0.70746,0.5,0.54843,0.2409,2.5011,3.33804,0.84901,0.0018416,0.0018416,0.0018416
10,110.504,2.80312,6.46371,0.97944,0.77867,0.414,0.48499,0.22031,2.41164,2.91865,0.84137,0.0018218,0.0018218,0.0018218
11,118.093,2.51058,5.26199,0.92286,0.89781,0.44118,0.5765,0.29732,2.25061,2.45728,0.84842,0.001802,0.001802,0.001802
12,130.429,2.27997,5.35311,0.89243,0.81393,0.61765,0.66101,0.28355,2.45385,2.40398,0.8475,0.0017822,0.0017822,0.0017822
13,145.266,2.38153,4.51322,0.92833,0.91096,0.64706,0.74152,0.31327,2.34903,2.13282,0.84407,0.0017624,0.0017624,0.0017624
14,159.878,2.55812,5.46348,0.95351,0.84162,0.62539,0.72227,0.29709,2.37465,2.11455,0.85295,0.0017426,0.0017426,0.0017426
15,175.407,2.52125,4.77133,0.92304,0.804,0.5,0.58684,0.2335,2.34254,2.16435,0.85001,0.0017228,0.0017228,0.0017228
16,190.69,2.42959,4.00058,0.9349,0.80453,0.60557,0.69935,0.31241,2.33163,2.18604,0.85054,0.001703,0.001703,0.001703
17,206.024,2.51763,4.19705,0.89248,0.80598,0.61765,0.65237,0.27291,2.56042,2.22686,0.86793,0.0016832,0.0016832,0.0016832
18,221.472,2.47068,3.99152,0.93456,0.87981,0.64706,0.66727,0.30108,2.0753,2.21573,0.84479,0.0016634,0.0016634,0.0016634
19,236.351,2.56189,3.82541,0.93633,0.78571,0.64706,0.69311,0.29427,2.41064,2.24279,0.85406,0.0016436,0.0016436,0.0016436
20,251.162,2.42082,3.60775,0.92174,0.8307,0.67647,0.74572,0.35046,2.3108,1.94673,0.80489,0.0016238,0.0016238,0.0016238
21,258.113,2.44251,3.58594,0.89785,0.86359,0.64706,0.76133,0.37956,2.339,1.96395,0.83204,0.001604,0.001604,0.001604
22,264.744,2.38645,3.27073,0.9085,0.87696,0.67647,0.76331,0.34629,2.26563,2.0481,0.85706,0.0015842,0.0015842,0.0015842
23,271.312,2.24263,3.27002,0.89901,0.88871,0.70467,0.78088,0.38818,2.13227,1.90245,0.8391,0.0015644,0.0015644,0.0015644
